key	text
AnimationElementOverlay1	LHAnimationClipPlayerは、AnimationClipを単体で再生するための機能です。\n\nAnimationClipとAnimatorのみのシンプルで最小の構成で、余計なアセットやコンポーネントは不要です。\nまた、開始値と終了値の状態を直接反映する処理をAwakeの前に実行出来るため、\nUIのイン/アウトアニメーションに最適です。
AnimationElementOverlay2	public interface ILHAnimationClipPlayer\n{\n    public void PlayAnimation(bool isRestart, bool isEndEvaluate, Action onComplete);\n    public UniTask PlayAnimationAsync(bool isRestart, bool isEndEvaluate);\n    public void ResetAnimation();\n    public void Stop();\n    public void Skip();\n}
DialogElementDialog1	ダイアログはダイアログという機能があるわけではなく、ScreenStack機能を利用した表現の1つです。\n\nもし複雑な依存関係を実装する場合は、このダイアログに独自のLifetimeScopeを定義できます。
DialogSample1Dialog1	更にダイアログを表示\n（排他的）
DialogSample1Dialog2	更にダイアログを表示
DialogSample1Dialog3	とじる
DialogSample1Dialog4	確認してからとじる
DialogSample2Dialog1	更にダイアログを表示（排他的）
DialogSample2Dialog2	更にダイアログを表示
DialogSample2Dialog3	確認してからとじる
OverlayElementOverlay1	オーバーレイはオーバーレイという機能があるわけではなく、ScreenStack機能を利用した表現の1つです。\n\nもし複雑な依存関係を実装する場合は、このオーバーレイに独自のLifetimeScopeを定義できます。
PopupElementPopup1	ポップアップはポップアップという機能があるわけではなく、ScreenStack機能を利用した表現の1つです。\nベースとなる画面の特定の位置をフォーカスしたり小さなウィンドウを出すのに便利です。
RequireToolsDialog	クレジット
RequireToolsDialog1	クレジット
RequireToolsDialog2	## Lighthouse Architecture Framework\nDeveloped by Lise (https://twitter.com/archeleeds)\n\nCopyright (c) 2026 Lise\nhttps://github.com/lisearcheleeds/LighthouseFramework\nMIT License\n\n\n## Third-Party Licenses\n### VContainer\nCopyright (c) 2020 hadashiA\nhttps://github.com/hadashiA/VContainer\nMIT License\n\n### R3\nCopyright (c) 2024 Cysharp, Inc.\nhttps://github.com/Cysharp/R3\nMIT License\n\n### UniRx\nCopyright (c) 2018 Yoshifumi Kawai / neuecc\nhttps://github.com/neuecc/UniRx\nMIT License
SceneTransitionDialog1	ダイアログが開いている状態で TransitionScene を使用すると、BackScene でそのシーンに戻った時にダイアログが自動的にリジュームされます。\nもちろん、あなたがダイアログの状態を制御することもできます。
SceneTransitionDialog2	Transition Scene
SceneTransitionDialog3	閉じてからTransition Scene
TransitionAnimationElementOverlay1	LHTransitionAnimatorは、シーン遷移のためにLHAnimationClipPlayerを拡張したコンポーネントです。\n\nSceneとScreenStackの基本クラスに統合することで、開発者とデザイナーの編集箇所を完全に切り分けて効率的に作業することが出来ます。\n\nもちろん、これらはプロダクト側で拡張出来るように作られています。
ButtonElementOverlay1	LHButtonはUnity.UI.Buttonを継承した機能です。\n\n現在は排他入力機能のみを持っています。
TextViewElementOverlay1	LHTextMeshProはローカライズ・辞書機能を備えたTextコンポーネントです。\nこれによってローカライズ作業と開発作業を完全に切り離し開発効率を上げることが出来ます。\nまた、EditorToolを用意しているため開発者以外にも作業が出来るようになっています。
InputLayerElementOverlay1	InputLayerは、キー入力をレイヤーごとに管理する機能です。\nシーンやスクリーンスタックなどを開くたびに、そのUIのキー入力のアクションマップが重ねられ、必要なキー入力のみを受け取ることができます。\n例えばアナログスティックでキャラクターを操作しながらインベントリを開くといった操作に活用出来ます。
InputLayerElementOverlay2	[EscapeKey] to Close
InputLayerElementOverlay3	Character\nLayer
InputLayerElementOverlay4	WASD
InputLayerElementOverlay5	Interact\n[E]
InputLayerElementOverlay6	Inventory\nLayer
InputLayerElementOverlay7	Close\nInventory\n[Esc]
InputLayerElementOverlay8	Equip\n[E]
InputLayerElementOverlay9	ToolTip\nLayer
InputLayerElementOverlay10	Item\nDescription\n[E]
DialogSampleConfirmDialog1	このポップアップは下のポップアップと同時に閉じます。
