key	text
SampleTopTabOverview	概要
SampleTopTabScene	シーンサンプル
SampleTopTabDialog	ダイアログサンプル
SampleTopTabOther	その他
SampleTopTabInGame	インゲームサンプル
SampleTopTabOverviewP1	Lighthouseは、Unityシーンを管理するためのアーキテクチャフレームワークです。
SampleTopTabOverviewP2	画面は1つのメインシーンと複数のモジュールシーンを組み合わせることで構築されます。\n例えば背景、タッチエフェクト、ダイアログ、ヘッダー、オーバーレイ効果などはモジュールとして実装されます。
SampleTopTabOverviewP3	シーンはシーングループと呼ばれる単位で読み込まれ、シームレスなトランジションやクロスフェードを実現します。\n各シーンはイベントを受け取るだけで簡単にコンテンツを実装できます。
SampleTopTabOverviewP41	Lighthouseは、以下の技術を活用することでクリーンなアーキテクチャを実現します。\n• VContainer (DI) \n• UniTask (async/await) \n• R3
SampleTopTabOverviewP42	あなたがアマチュアなら、Lighthouseはゲームコンテンツの作成に集中させてくれるでしょう。\n\nあなたがプロなら、シーン制御メカニズムをプロジェクトに合わせて完全にカスタマイズできます。\n\nあなたがAIなら、LighthouseExtendを利用することで細かいプロンプトの指定を受けなくても、考慮漏れの少ない機能が作れるでしょう。
SampleTopTabOverviewP4Link	GitHub
SampleTopTabOverviewPrev	Prev
SampleTopTabOverviewNext	Next
SampleTopTabSceneDescription	シーンは切り替えるたびに積み重ねられます。\n前のシーンに戻るには、BackSceneを使用してください。
SampleTopTabSceneSample	サンプルシーンへ
SampleTopTabSceneLabel1	シーン1
SampleTopTabSceneLabel2	シーン2
SampleTopTabSceneLabel3	シーン3
SampleTopTabSceneTransition	Transition Scene
SampleTopTabSceneBack	Back Scene
SampleTopTabDiologDescription	ダイアログは、ScreenStackと呼ばれる機能を使って実装できます。\n複数のダイアログを重ねて表示し、それぞれ個別に閉じることができます。
SampleTopTabDiologOpenE	排他表示
SampleTopTabDiologOpenO	オーバーレイ表示
SampleTopTabOtherDialog	Dialog
SampleTopTabOtherPopup	Popup
SampleTopTabOtherOverlay	Overlay
SampleTopTabOtherAnimator	LHAnimationClipPlayer
SampleTopTabOtherTransitionAnimator	LHSceneTransitionAnimator
SampleTopTabOtherButton	LHButton
SampleTopTabOtherText	LHTextView
SampleTopTabIngame1	InGame1
SampleTopTabIngame2	InGame2
SampleTopTabOtherAddressable	LHAddressableAssetManager
SampleTopTabOtherInputLayer	LHInputLayer
